request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Full payment of 15656000 is safe on the request date.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Full payment of 6670 is safe on the request date.
request_28,406.55,affordable_later,wait,none,2024-07-15,none,Full payment becomes safe on 2024-07-15.
request_29,37279.15,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_30,693.78,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_31,4398471.71,affordable_later,wait,none,2024-10-15,none,Full payment becomes safe on 2024-10-15.
request_32,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_33,47878.98,affordable_later,wait,none,2026-02-15,none,Full payment becomes safe on 2026-02-15.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Full payment of 129400 is safe on the request date.
request_35,52429.54,affordable_later,wait,none,2026-01-15,none,Full payment becomes safe on 2026-01-15.
request_36,739.9,affordable_later,wait,none,2026-09-15,none,Full payment becomes safe on 2026-09-15.
request_37,4977169.09,affordable_later,wait,none,2024-05-15,none,Full payment becomes safe on 2024-05-15.
request_38,252.62,affordable_later,wait,none,2025-09-15,none,Full payment becomes safe on 2025-09-15.
request_39,65414.87,affordable_later,wait,none,2026-05-15,none,Full payment becomes safe on 2026-05-15.
request_40,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_41,14200526.62,affordable_later,wait,none,2025-12-15,none,Full payment becomes safe on 2025-12-15.
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Full payment of 52100 is safe on the request date.
request_43,10438524.37,affordable_later,wait,none,2024-11-15,none,Full payment becomes safe on 2024-11-15.
request_44,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_45,4922002.29,affordable_later,wait,none,2026-09-15,none,Full payment becomes safe on 2026-09-15.
request_46,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_47,23764681.37,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Full payment of 45700 is safe on the request date.
request_49,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Full payment of 43900 is safe on the request date.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Full payment of 2191000 is safe on the request date.
request_52,18972.32,affordable_with_plan,partial_payment,2024-06-05:18972.32|2024-06-15:9897.68,2024-06-15,none,Safe to proceed via partial payment.
request_53,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_54,7651.74,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_55,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_56,850,affordable_with_plan,partial_payment,2025-02-03:850|2025-02-15:31.56,2025-02-15,none,Safe to proceed via partial payment.
request_57,14065.19,affordable_later,wait,none,2026-05-15,none,Full payment becomes safe on 2026-05-15.
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Full payment of 16226000 is safe on the request date.
request_59,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,Full payment of 199.89 is safe on the request date.
request_61,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Full payment of 404.23 is safe on the request date.
request_63,67022.88,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_64,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_65,8600.67,not_affordable,not_recommended,none,2026-01-15,none,Request is not affordable within the 90-day forecast.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Full payment of 22200 is safe on the request date.
request_67,457.69,affordable_later,wait,none,2024-10-15,none,Full payment becomes safe on 2024-10-15.
request_68,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Full payment of 529.1 is safe on the request date.
request_70,56899.81,affordable_later,wait,none,2025-02-15,none,Full payment becomes safe on 2025-02-15.
request_71,1154793.73,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_72,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Full payment of 71400 is safe on the request date.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Full payment of 5010 is safe on the request date.
request_75,27115.5,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_76,1056.86,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Full payment of 60700 is safe on the request date.
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,Full payment of 50200 is safe on the request date.
request_79,371.73,not_affordable,not_recommended,none,2024-11-15,none,Request is not affordable within the 90-day forecast.
request_80,123452.74,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Full payment of 2076 is safe on the request date.
request_82,527.84,affordable_later,wait,none,2025-01-15,none,Full payment becomes safe on 2025-01-15.
request_83,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_84,30543.97,affordable_later,wait,none,2026-05-15,none,Full payment becomes safe on 2026-05-15.
request_85,1483728.31,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Full payment of 46300 is safe on the request date.
request_87,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_88,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_89,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Full payment of 2560 is safe on the request date.
request_91,585.44,affordable_later,wait,none,2024-11-15,none,Full payment becomes safe on 2024-11-15.
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Full payment of 34034 is safe on the request date.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,Full payment of 1729.2 is safe on the request date.
request_94,499.96,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_95,37373.82,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_96,24212.62,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_97,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_98,10628.54,affordable_later,wait,none,2025-09-15,none,Full payment becomes safe on 2025-09-15.
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Full payment of 18062 is safe on the request date.
request_100,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Full payment of 143500 is safe on the request date.
request_102,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_103,26448.9,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_104,14997.29,affordable_later,wait,none,2025-04-15,none,Full payment becomes safe on 2025-04-15.
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,Full payment of 53500 is safe on the request date.
request_106,468.18,affordable_later,wait,none,2025-02-15,none,Full payment becomes safe on 2025-02-15.
request_107,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_108,4460.33,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_109,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_110,22352,not_affordable,not_recommended,none,2025-08-06,none,Request is not affordable within the 90-day forecast.
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Full payment of 16625000 is safe on the request date.
request_112,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_113,32456.87,affordable_with_plan,partial_payment,2026-09-04:32456.87|2026-09-15:4043.13,2026-09-15,none,Safe to proceed via partial payment.
request_114,65300,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,Full payment of 65300 is safe on the request date.
request_115,16001.91,affordable_later,wait,none,2024-11-15,none,Full payment becomes safe on 2024-11-15.
request_116,28630.16,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,Full payment of 880 is safe on the request date.
request_118,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_119,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Full payment of 7714000 is safe on the request date.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Full payment of 633.6 is safe on the request date.
request_122,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Full payment of 4076000 is safe on the request date.
request_124,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,Full payment of 6468 is safe on the request date.
request_126,51649.68,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_127,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Full payment of 25168 is safe on the request date.
request_129,150.14,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_130,653.38,affordable_later,wait,none,2025-01-15,none,Full payment becomes safe on 2025-01-15.
request_131,1275.53,affordable_with_plan,partial_payment,2025-05-03:1275.53|2025-06-15:579.67,2025-06-15,none,Safe to proceed via partial payment.
request_132,359.19,affordable_with_plan,partial_payment,2026-01-05:359.19|2026-01-15:20.67,2026-01-15,none,Safe to proceed via partial payment.
request_133,1055409.73,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_134,7214167.93,affordable_later,wait,none,2025-09-15,none,Full payment becomes safe on 2025-09-15.
request_135,304.8,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,none,Full payment of 304.8 is safe on the request date.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,none,Full payment of 560.4 is safe on the request date.
request_137,31721.94,affordable_later,wait,none,2025-12-15,none,Full payment becomes safe on 2025-12-15.
request_138,1070.83,affordable_with_plan,partial_payment,2026-04-07:1070.83|2026-04-15:186.11,2026-04-15,none,Safe to proceed via partial payment.
request_139,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_140,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_141,32629.27,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,Full payment of 1263.6 is safe on the request date.
request_143,5568.47,affordable_later,wait,none,2025-06-15,none,Full payment becomes safe on 2025-06-15.
request_144,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_145,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_146,40005.51,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_147,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_148,11214.34,affordable_with_plan,partial_payment,2024-06-07:11214.34|2024-06-15:11027.66,2024-06-15,none,Safe to proceed via partial payment.
request_149,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_150,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Full payment of 26999000 is safe on the request date.
request_152,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_153,304.23,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_154,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_155,73558.1,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_156,10744.44,affordable_later,wait,none,2026-05-15,none,Full payment becomes safe on 2026-05-15.
request_157,6031844.46,affordable_with_plan,partial_payment,2024-03-05:6031844.46|2024-04-15:17471155.54,2024-04-15,none,Safe to proceed via partial payment.
request_158,0,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
request_159,3380.64,not_affordable,not_recommended,none,,none,Request is not affordable within the 90-day forecast.
